name_pl,proxy_fdc,sfa,sugar,ca,fe,mg,k,na,zn,vitc,vitd_iu,b12,folate,epa,dha,iodine
Maliny,167755,0.019,4.42,25.0,0.69,22.0,151.0,1.0,0.42,26.2,0.0,0.0,21.0,0.0,0.0,0.0
Owoce jagodowe mrożone,173950,0.053,8.45,8.0,0.18,5.0,54.0,1.0,0.07,2.5,0.0,0.0,7.0,0.0,0.0,0.0
Gruszka,169118,0.022,9.75,9.0,0.18,7.0,116.0,1.0,0.1,4.3,0.0,0.0,7.0,0.0,0.0,0.0
Pomarańcza,169097,0.015,9.35,40.0,0.1,10.0,181.0,0.0,0.07,53.2,0.0,0.0,30.0,0.0,0.0,0.0
Kiwi,168153,0.029,8.99,34.0,0.31,17.0,312.0,3.0,0.14,92.7,0.0,0.0,25.0,0.0,0.0,0.0
Winogrona,174683,0.054,15.48,10.0,0.36,7.0,191.0,2.0,0.07,3.2,0.0,0.0,2.0,0.0,0.0,0.0
Mango,169910,0.092,13.66,11.0,0.16,10.0,168.0,1.0,0.09,36.4,0.0,0.0,43.0,0.0,0.0,0.0
Daktyle,168191,0.0,66.47,64.0,0.9,54.0,696.0,1.0,0.44,0.0,0.0,0.0,15.0,0.0,0.0,0.0
Rodzynki,168165,0.094,65.18,62.0,1.79,36.0,744.0,26.0,0.36,2.3,0.0,0.0,5.0,0.0,0.0,0.0
Sok z cytryny,167747,0.04,2.52,6.0,0.08,6.0,103.0,1.0,0.05,38.7,0.0,0.0,20.0,0.0,0.0,0.0
Kakao gorzkie,169593,8.07,1.75,128.0,13.86,499.0,1524.0,21.0,6.81,0.0,0.0,0.0,32.0,0.0,0.0,0.0
Cynamon,171320,0.345,2.17,1002.0,8.32,60.0,431.0,10.0,1.83,3.8,0.0,0.0,6.0,0.0,0.0,0.0
Sos sojowy,174277,0.073,0.4,33.0,1.45,74.0,435.0,5493.0,0.87,0.0,0.0,0.0,14.0,0.0,0.0,0.0
Musztarda,172234,0.214,0.92,63.0,1.61,48.0,152.0,1104.0,0.64,0.3,0.0,0.0,7.0,0.0,0.0,0.0
Ketchup,168556,0.014,21.27,15.0,0.35,13.0,281.0,907.0,0.17,4.1,0.0,0.0,9.0,0.0,0.0,0.0
Ocet jabłkowy,173469,0.0,0.4,7.0,0.2,5.0,73.0,5.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulion warzywny,171583,0.028,0.55,3.0,0.06,1.0,19.0,296.0,0.03,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Sól,173468,0.0,0.0,24.0,0.33,1.0,8.0,38758.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pieprz czarny,170931,1.392,0.64,443.0,9.71,171.0,1329.0,20.0,1.19,0.0,0.0,0.0,17.0,0.0,0.0,0.0
Papryka słodka mielona,171329,2.14,10.34,229.0,21.14,178.0,2280.0,68.0,4.33,0.9,0.0,0.0,49.0,0.0,0.0,0.0
Curry (mieszanka),170924,1.648,2.76,525.0,19.1,255.0,1170.0,52.0,4.7,0.7,0.0,0.0,56.0,0.0,0.0,0.0
Oregano suszone,171328,1.551,4.09,1597.0,36.8,270.0,1260.0,25.0,2.69,2.3,0.0,0.0,237.0,0.0,0.0,0.0
Imbir świeży,169231,0.203,1.7,16.0,0.6,43.0,415.0,13.0,0.34,5.0,0.0,0.0,11.0,0.0,0.0,0.0
Twaróg półtłusty,172182,1.235,4.0,111.0,0.13,9.0,125.0,308.0,0.51,0.0,0.0,0.47,8.0,0.001,0.0,0.0
Twaróg chudy,172181,0.169,1.85,86.0,0.15,11.0,137.0,372.0,0.47,0.0,0.0,0.46,9.0,0.0,0.0,0.0
Odżywka białkowa WPC 80,170877,0.499,51.98,1257.0,0.32,110.0,1794.0,535.0,4.08,6.8,0.0,4.03,50.0,0.0,0.0,0.0
Napój owsiany,172446,0.205,3.99,25.0,0.64,25.0,118.0,51.0,0.12,0.0,0.0,0.0,18.0,0.0,0.0,0.0
Jogurt sojowy naturalny,172446,0.205,3.99,25.0,0.64,25.0,118.0,51.0,0.12,0.0,0.0,0.0,18.0,0.0,0.0,0.0
Chleb bezglutenowy,174923,0.709,4.67,69.0,3.61,80.0,215.0,269.0,1.31,0.0,0.0,0.0,86.0,0.0,0.0,0.0
Wafle ryżowe,173912,0.13,0.0,6.0,31.7,25.0,113.0,3.0,1.03,0.0,0.0,0.0,19.0,0.0,0.0,0.0
Wafle kukurydziane,173912,0.13,0.0,6.0,31.7,25.0,113.0,3.0,1.03,0.0,0.0,0.0,19.0,0.0,0.0,0.0
Kiełbasa drobiowa chuda,174605,4.8,1.9,100.0,4.8,14.0,246.0,1034.0,2.68,0.0,0.0,1.6,6.0,0.0,0.001,0.0
Szynka z indyka (wędlina),168092,0.5,0.5,5.0,1.35,20.0,299.0,1038.0,2.36,0.0,2.0,0.26,6.0,0.0,0.032,0.0
Ryż paraboliczny / basmati (suchy),169756,0.18,0.12,28.0,0.8,25.0,115.0,5.0,1.09,0.0,0.0,0.0,8.0,0.0,0.0,0.0
Śledź (surowy),175116,2.04,0.0,57.0,1.1,32.0,327.0,90.0,0.99,0.7,167.0,13.67,10.0,0.709,0.862,0.0
Halibut (surowy),174200,0.292,0.0,7.0,0.16,23.0,435.0,68.0,0.36,0.0,190.0,1.1,12.0,0.066,0.128,0.0
Sardynki w oleju (odsączone),175139,1.528,0.0,382.0,2.92,39.0,397.0,307.0,1.31,0.0,193.0,8.94,10.0,0.473,0.509,0.0
Łosoś wędzony,167614,0.0,0.0,60.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Płatki kukurydziane,174648,0.227,7.84,2.0,19.4,7.0,107.0,571.0,0.2,65.0,286.0,5.36,714.0,0.0,0.0,0.0
Płatki ryżowe,173912,0.13,0.0,6.0,31.7,25.0,113.0,3.0,1.03,0.0,0.0,0.0,19.0,0.0,0.0,0.0
Płatki jaglane,169702,0.723,0.0,8.0,3.01,114.0,195.0,5.0,1.68,0.0,0.0,0.0,85.0,0.0,0.0,0.0
Rzodkiewka,169276,0.032,1.86,25.0,0.34,10.0,233.0,39.0,0.28,14.8,0.0,0.0,25.0,0.0,0.0,0.0
Serek śmietankowy light,169079,10.0,3.3,148.0,0.17,8.0,247.0,317.0,0.57,0.0,11.0,0.92,19.0,0.0,0.0,0.0
"Stek wołowy (top round, surowy)",168712,3.023,0.0,25.0,1.74,24.0,357.0,63.0,4.1,0.0,0.0,1.32,12.0,0.0,0.0,0.0
Wątróbka drobiowa (surowa),171060,1.563,0.0,8.0,8.99,19.0,230.0,71.0,2.67,17.9,0.0,16.58,588.0,0.0,0.0,0.0
Ananas świeży,169124,0.009,9.85,13.0,0.29,12.0,109.0,1.0,0.12,47.8,0.0,0.0,18.0,0.0,0.0,0.0
Szynka z piersi kurczaka (wędlina),168092,0.5,0.5,5.0,1.35,20.0,299.0,1038.0,2.36,0.0,2.0,0.26,6.0,0.0,0.032,0.0
Ketchup mniej kalorii,168556,0.014,21.27,15.0,0.35,13.0,281.0,907.0,0.17,4.1,0.0,0.0,9.0,0.0,0.0,0.0
Skwarki,168322,11.964,0.0,11.0,0.95,31.0,499.0,1684.0,3.06,0.0,17.0,1.09,0.0,0.004,0.008,0.0
Słodzik (erytrol),173468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mleko bez laktozy 2%,171267,1.257,5.06,120.0,0.02,11.0,140.0,47.0,0.48,0.2,49.0,0.53,5.0,0.0,0.0,0.0
Jogurt naturalny bez laktozy,170886,1.0,7.04,183.0,0.08,17.0,234.0,70.0,0.89,0.8,1.0,0.56,11.0,0.0,0.0,0.0
Jogurt grecki bez laktozy 0%,170894,0.117,3.24,110.0,0.07,11.0,141.0,36.0,0.52,0.0,0.0,0.75,7.0,0.0,0.0,0.0
Skyr bez laktozy,170894,0.117,3.24,110.0,0.07,11.0,141.0,36.0,0.52,0.0,0.0,0.75,7.0,0.0,0.0,0.0
Kefir bez laktozy,170904,0.658,4.61,130.0,0.04,12.0,164.0,40.0,0.46,0.2,41.0,0.29,13.0,0.0,0.0,0.0
Twaróg półtłusty bez laktozy,172182,1.235,4.0,111.0,0.13,9.0,125.0,308.0,0.51,0.0,0.0,0.47,8.0,0.001,0.0,0.0
Twaróg chudy bez laktozy,172181,0.169,1.85,86.0,0.15,11.0,137.0,372.0,0.47,0.0,0.0,0.46,9.0,0.0,0.0,0.0
Serek wiejski bez laktozy,172182,1.235,4.0,111.0,0.13,9.0,125.0,308.0,0.51,0.0,0.0,0.47,8.0,0.001,0.0,0.0
Mozzarella bez laktozy,170847,10.114,1.13,782.0,0.22,23.0,84.0,619.0,2.76,0.0,12.0,0.82,9.0,0.0,0.0,0.0
